Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
343147;1000390865316450400;63759448349943;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.022, -0.044, 0.999);(0.000, 0.000, 0.000);VALID;(0.025, -0.071, 0.997);(-0.032, 0.000, 0.000);0.2084174;VALID;(0.019, -0.021, 1.000);(0.032, 0.000, 0.000);0.223762;2;0
343148;1000390865326619800;63759448349943;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.022, -0.041, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.062, 0.998);(-0.032, 0.000, 0.000);0.2280601;VALID;(0.019, -0.020, 1.000);(0.032, 0.000, 0.000);0.2234069;2;0
343149;1000390865336598500;63759448349943;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.023, -0.039, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.059, 0.998);(-0.032, 0.000, 0.000);0.2180164;VALID;(0.019, -0.018, 1.000);(0.032, 0.000, 0.000);0.2228522;2;0
343150;1000390865346577000;63759448349943;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.023, -0.039, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.056, 0.998);(-0.032, 0.000, 0.000);0.2178424;VALID;(0.020, -0.020, 1.000);(0.032, 0.000, 0.000);0.2215004;2;0
343151;1000390865356582000;63759448349943;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.024, -0.037, 0.999);(0.000, 0.000, 0.000);VALID;(0.028, -0.054, 0.998);(-0.032, 0.000, 0.000);0.2178719;VALID;(0.020, -0.019, 1.000);(0.032, 0.000, 0.000);0.2209223;2;0
343152;1000390865366594900;63759448349943;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.024, -0.037, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.055, 0.998);(-0.032, 0.000, 0.000);0.2082341;VALID;(0.021, -0.018, 1.000);(0.032, 0.000, 0.000);0.2199699;2;0
343153;1000390865376589200;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.024, -0.037, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.056, 0.998);(-0.032, 0.000, 0.000);0.2084191;VALID;(0.021, -0.017, 1.000);(0.032, 0.000, 0.000);0.2198292;2;0
343154;1000390865386841200;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.024, -0.039, 0.999);(0.000, 0.000, 0.000);VALID;(0.026, -0.057, 0.998);(-0.032, 0.000, 0.000);0.208375;VALID;(0.021, -0.019, 1.000);(0.032, 0.000, 0.000);0.2193197;2;0
343156;1000390865406698400;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.025, -0.042, 0.999);(0.000, 0.000, 0.000);VALID;(0.029, -0.067, 0.997);(-0.032, 0.000, 0.000);0.1808058;VALID;(0.021, -0.019, 1.000);(0.032, 0.000, 0.000);0.2185856;2;0
343165;1000390865496828000;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.027, -0.046, 0.999);(0.000, 0.000, 0.000);VALID;(0.032, -0.079, 0.996);(-0.032, 0.000, 0.000);0.1808158;VALID;(0.022, -0.018, 1.000);(0.032, 0.000, 0.000);0.2179222;0.1771134;0
343166;1000390865506837800;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.028, -0.052, 0.998);(0.000, 0.000, 0.000);VALID;(0.036, -0.094, 0.995);(-0.032, 0.000, 0.000);0.180639;VALID;(0.022, -0.018, 1.000);(0.032, 0.000, 0.000);0.21737;0.1472794;0
343167;1000390865516944100;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.030, -0.057, 0.998);(0.000, 0.000, 0.000);VALID;(0.039, -0.106, 0.994);(-0.032, 0.000, 0.000);0.180881;VALID;(0.022, -0.019, 1.000);(0.032, 0.000, 0.000);0.2163535;0.1339482;0
343168;1000390865526979800;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.031, -0.062, 0.998);(0.000, 0.000, 0.000);VALID;(0.041, -0.114, 0.993);(-0.032, 0.000, 0.000);0.1809024;VALID;(0.022, -0.019, 1.000);(0.032, 0.000, 0.000);0.2159872;0.1286902;0
343169;1000390865536991700;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.033, -0.066, 0.997);(0.000, 0.000, 0.000);VALID;(0.045, -0.121, 0.992);(-0.032, 0.000, 0.000);0.1819195;VALID;(0.022, -0.019, 1.000);(0.032, 0.000, 0.000);0.2159773;0.1312388;0
343170;1000390865546955100;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.033, -0.069, 0.997);(0.000, 0.000, 0.000);VALID;(0.046, -0.125, 0.991);(-0.032, 0.000, 0.000);0.1817334;VALID;(0.022, -0.020, 1.000);(0.032, 0.000, 0.000);0.2159545;0.1320528;0
343171;1000390865556997700;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.034, -0.071, 0.997);(0.000, 0.000, 0.000);VALID;(0.047, -0.126, 0.991);(-0.032, 0.000, 0.000);0.1816915;VALID;(0.022, -0.020, 1.000);(0.032, 0.000, 0.000);0.2159118;0.1332887;0
343172;1000390865566980200;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.034, -0.072, 0.997);(0.000, 0.000, 0.000);VALID;(0.048, -0.127, 0.991);(-0.032, 0.000, 0.000);0.1817872;VALID;(0.022, -0.020, 1.000);(0.032, 0.000, 0.000);0.2157599;0.1369913;0
343173;1000390865577187800;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.035, -0.073, 0.997);(0.000, 0.000, 0.000);VALID;(0.048, -0.127, 0.991);(-0.032, 0.000, 0.000);0.1817768;VALID;(0.022, -0.021, 1.000);(0.032, 0.000, 0.000);0.215057;0.1409052;0
343175;1000390865597080200;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.034, -0.073, 0.997);(0.000, 0.000, 0.000);VALID;(0.047, -0.127, 0.991);(-0.032, 0.000, 0.000);0.1969829;VALID;(0.022, -0.020, 1.000);(0.032, 0.000, 0.000);0.2212253;0.1338488;0
343176;1000390865607080900;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.033, -0.069, 0.997);(0.000, 0.000, 0.000);VALID;(0.045, -0.122, 0.992);(-0.032, 0.000, 0.000);0.1962195;VALID;(0.022, -0.019, 1.000);(0.032, 0.000, 0.000);0.2208118;0.1329182;0
343177;1000390865617304400;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.030, -0.069, 0.997);(0.000, 0.000, 0.000);VALID;(0.043, -0.120, 0.992);(-0.032, 0.000, 0.000);0.1969687;VALID;(0.016, -0.020, 1.000);(0.032, 0.000, 0.000);0.2113404;0.1580962;0
343178;1000390865627101300;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.026, -0.068, 0.997);(0.000, 0.000, 0.000);VALID;(0.040, -0.116, 0.992);(-0.032, 0.000, 0.000);0.196956;VALID;(0.011, -0.020, 1.000);(0.032, 0.000, 0.000);0.2116042;0.1807759;0
343179;1000390865637210900;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.022, -0.067, 0.998);(0.000, 0.000, 0.000);VALID;(0.037, -0.112, 0.993);(-0.032, 0.000, 0.000);0.1952353;VALID;(0.007, -0.020, 1.000);(0.032, 0.000, 0.000);0.2119801;0.2056602;0
343180;1000390865647203700;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.019, -0.066, 0.998);(0.000, 0.000, 0.000);VALID;(0.034, -0.109, 0.993);(-0.032, 0.000, 0.000);0.1951825;VALID;(0.003, -0.020, 1.000);(0.032, 0.000, 0.000);0.2123327;0.228774;0
343181;1000390865657212400;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.016, -0.065, 0.998);(0.000, 0.000, 0.000);VALID;(0.031, -0.105, 0.994);(-0.032, 0.000, 0.000);0.1951016;VALID;(0.000, -0.020, 1.000);(0.032, 0.000, 0.000);0.2123994;0.2486805;0
343182;1000390865667214800;63759448349944;(0.256, 1.142, -1.007);(0.028, 0.228, -0.020, 0.973);VALID;(0.013, -0.063, 0.998);(0.000, 0.000, 0.000);VALID;(0.028, -0.101, 0.994);(-0.032, 0.000, 0.000);0.1953495;VALID;(-0.003, -0.020, 1.000);(0.032, 0.000, 0.000);0.2125224;0.2672002;0
